,model,data,k,hit@k,time,error
0,Ensamble,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.738484341,3.526120079,
1,Embible/mBert-10-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.048000598,1.947119955,
2,Embible/mBert-10-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,,,,ERROR : Embible/tavbert-10-epochs does not appear to have a file named config.json. Checkout 'https://huggingface.co/Embible/tavbert-10-epochs/main' for available files.
3,Embible/distilBert-10-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.019459102,1.582600447,
4,Embible/mBert-20-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.053448752,1.93048892,
5,Embible/tavbert-20-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.568616258,1.693853454,
6,Embible/distilBert-20-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.048148154,1.484575737,
7,Embible/mBert-50-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.053212959,1.823782504,
8,Embible/mBert-50-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,,,,"ERROR : Embible/tavbert-50-epochs is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo with `use_auth_token` or log in with `huggingface-cli login` and pass `use_auth_token=True`."
9,Embible/distilBert-50-epochs,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,1,0.045416583,1.467941312,
10,Ensamble,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0.139806409,2.779776927,
11,Embible/mBert-10-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0.026760125,1.42365402,
12,Embible/mBert-10-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,,,,ERROR : Embible/tavbert-10-epochs does not appear to have a file named config.json. Checkout 'https://huggingface.co/Embible/tavbert-10-epochs/main' for available files.
13,Embible/distilBert-10-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0.013925234,1.070855554,
14,Embible/mBert-20-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0.024423676,1.338767099,
15,Embible/tavbert-20-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0,1.205241795,
16,Embible/distilBert-20-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0.036137072,1.077034696,
17,Embible/mBert-50-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,1,0.027383178,1.309790834,
18,Embible/mBert-50-epochs,../../data/Hit@K/masked words char tokens/word_chars_15.json,,,,"ERROR : Embible/tavbert-50-epochs is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo with `use_auth_token` or log in with `huggingface-cli login` and pass `use_auth_token=True`."
