,k,model,hit@k,file,time,error
0,1,Embible/AlephBertGimmel-10-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.0037340084711710614,
1,1,Embible/AlephBertGimmel-20-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.001958195368448893,
2,1,Embible/AlephBertGimmel-50-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.007365469137827555,
3,1,Embible/mBert-10-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.0025402426719665526,
4,1,Embible/mBert-20-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.002451670169830322,
5,1,Embible/mBert-50-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.00888978640238444,
6,1,Embible/distilBert-10-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.0033617575963338217,
7,1,Embible/distilBert-20-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.0018979310989379883,
8,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,0.001629487673441569,
9,1,Embible/AlephBertGimmel-10-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.002689468860626221,
10,1,Embible/AlephBertGimmel-20-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.0023894190788269045,
11,1,Embible/AlephBertGimmel-50-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.0030056118965148928,
12,1,Embible/mBert-10-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.003234422206878662,
13,1,Embible/mBert-20-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.0029468536376953125,
14,1,Embible/mBert-50-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.0030426581700642905,
15,1,Embible/distilBert-10-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.005453129609425862,
16,1,Embible/distilBert-20-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.00204464594523112,
17,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_5.json,0.004089001814524333,
18,1,Embible/AlephBertGimmel-10-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.002451153596242269,
19,1,Embible/AlephBertGimmel-20-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.002158089478810628,
20,1,Embible/AlephBertGimmel-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.002481985092163086,
21,1,Embible/mBert-10-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.0021744767824808755,
22,1,Embible/mBert-20-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.0020320733388264974,
23,1,Embible/mBert-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.0022290825843811037,
24,1,Embible/distilBert-10-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.0019063194592793783,
25,1,Embible/distilBert-20-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.0014377355575561524,
26,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_15.json,0.001900641123453776,
27,1,Embible/AlephBertGimmel-10-epochs,,../../data/Hit@K/masked words char tokens/word_chars_25.json,,'32'
28,1,Embible/AlephBertGimmel-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_25.json,,'40'
29,1,Embible/AlephBertGimmel-50-epochs,,../../data/Hit@K/masked words char tokens/word_chars_25.json,,'32'
30,1,Embible/mBert-10-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_25.json,0.0026224931081136067,
31,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_25.json,,'40'
32,1,Embible/mBert-50-epochs,,../../data/Hit@K/masked words char tokens/word_chars_25.json,,'32'
33,1,Embible/distilBert-10-epochs,,../../data/Hit@K/masked words char tokens/word_chars_25.json,,'40'
34,1,Embible/distilBert-20-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_25.json,0.0018669684727986653,
35,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_25.json,0.0019631187121073404,
36,1,Embible/AlephBertGimmel-10-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.002295235792795817,
37,1,Embible/AlephBertGimmel-20-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.002052048842112223,
38,1,Embible/AlephBertGimmel-50-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.008239980538686116,
39,1,Embible/mBert-10-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.002264698346455892,
40,1,Embible/mBert-20-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.002108152707417806,
41,1,Embible/mBert-50-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.002077754338582357,
42,1,Embible/distilBert-10-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.0020800272623697916,
43,1,Embible/distilBert-20-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.0014896233876546224,
44,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked MIX char tokens/mix_10.json,0.0015552560488382974,
45,1,Embible/AlephBertGimmel-10-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.001961668332417806,
46,1,Embible/AlephBertGimmel-20-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.00213467280069987,
47,1,Embible/AlephBertGimmel-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.002573887507120768,
48,1,Embible/mBert-10-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.0021103978157043456,
49,1,Embible/mBert-20-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.001975111166636149,
50,1,Embible/mBert-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.001684280236562093,
51,1,Embible/distilBert-10-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.0019802014032999677,
52,1,Embible/distilBert-20-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.0014090935389200847,
53,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_25.json,0.0017702619234720865,
54,1,Embible/AlephBertGimmel-10-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,'37'
55,1,Embible/AlephBertGimmel-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,'37'
56,1,Embible/AlephBertGimmel-50-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,'37'
57,1,Embible/mBert-10-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,'37'
58,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,'37'
59,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,[enforce fail at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\c10\core\impl\alloc_cpu.cpp:72] data. DefaultCPUAllocator: not enough memory: you tried to allocate 2359296 bytes.
60,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,
61,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,
62,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked words char tokens/word_chars_30.json,,
63,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
64,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
65,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
66,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
67,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
68,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
69,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
70,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
71,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked MIX char tokens/mix_15.json,,
72,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
73,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
74,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
75,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
76,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
77,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
78,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
79,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,,
80,1,Embible/distilBert-50-epochs,0.0,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_30.json,0.06030637820561727,
