,k,model,hit@k,file,time,error
0,1,Ensamble,0.1398064085447264,../../data/Hit@K/masked words char tokens/word_chars_15.json,3.2539700190226237,
1,1,Embible/mBert-10-epochs,0.0267601246105919,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.6857031464576722,
2,1,Embible/mBert-10-epochs,,../../data/Hit@K/masked words char tokens/word_chars_15.json,,Embible/tavbert-10-epochs does not appear to have a file named config.json. Checkout 'https://huggingface.co/Embible/tavbert-10-epochs/main' for available files.
3,1,Embible/distilBert-10-epochs,0.013925233644859814,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.871351949373881,
4,1,Embible/mBert-20-epochs,0.02442367601246106,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.6210587779680887,
5,1,Embible/tavbert-20-epochs,0.0,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.2731184204419455,
6,1,Embible/distilBert-20-epochs,0.03613707165109034,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.4770923058191936,
7,1,Embible/mBert-50-epochs,0.02738317757009346,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.9844022591908772,
8,1,Embible/mBert-50-epochs,,../../data/Hit@K/masked words char tokens/word_chars_15.json,,"Embible/tavbert-50-epochs is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo with `use_auth_token` or log in with `huggingface-cli login` and pass `use_auth_token=True`."
9,1,Embible/distilBert-50-epochs,0.03196261682242991,../../data/Hit@K/masked words char tokens/word_chars_15.json,1.3766040841738383,
10,1,Ensamble,0.4098627212753465,../../data/Hit@K/masked MIX char tokens/mix_5.json,3.4534544865290324,
11,1,Embible/mBert-10-epochs,0.05793044905518057,../../data/Hit@K/masked MIX char tokens/mix_5.json,1.7896342992782592,
12,1,Embible/mBert-10-epochs,,../../data/Hit@K/masked MIX char tokens/mix_5.json,,Embible/tavbert-10-epochs does not appear to have a file named config.json. Checkout 'https://huggingface.co/Embible/tavbert-10-epochs/main' for available files.
13,1,Embible/distilBert-10-epochs,0.0211104702743085,../../data/Hit@K/masked MIX char tokens/mix_5.json,1.3693305611610413,
14,1,Embible/mBert-20-epochs,0.051937144363764315,../../data/Hit@K/masked MIX char tokens/mix_5.json,1.7202570716540018,
15,1,Embible/tavbert-20-epochs,0.3666470851040227,../../data/Hit@K/masked MIX char tokens/mix_5.json,1.582960351308187,
16,1,Embible/distilBert-20-epochs,0.053932732446617115,../../data/Hit@K/masked MIX char tokens/mix_5.json,1.533527175585429,
17,1,Embible/mBert-50-epochs,0.05962684393684462,../../data/Hit@K/masked MIX char tokens/mix_5.json,2.052125799655914,
18,1,Embible/mBert-50-epochs,,../../data/Hit@K/masked MIX char tokens/mix_5.json,,"Embible/tavbert-50-epochs is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo with `use_auth_token` or log in with `huggingface-cli login` and pass `use_auth_token=True`."
19,1,Embible/distilBert-50-epochs,0.05111101980936096,../../data/Hit@K/masked MIX char tokens/mix_5.json,1.3650655468304953,
20,1,Ensamble,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
21,1,Embible/mBert-10-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
22,1,Embible/mBert-10-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,Embible/tavbert-10-epochs does not appear to have a file named config.json. Checkout 'https://huggingface.co/Embible/tavbert-10-epochs/main' for available files.
23,1,Embible/distilBert-10-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
24,1,Embible/mBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
25,1,Embible/tavbert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
26,1,Embible/distilBert-20-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
27,1,Embible/mBert-50-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
28,1,Embible/mBert-50-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,"Embible/tavbert-50-epochs is not a local folder and is not a valid model identifier listed on 'https://huggingface.co/models'
If this is a private repository, make sure to pass a token having permission to this repo with `use_auth_token` or log in with `huggingface-cli login` and pass `use_auth_token=True`."
29,1,Embible/distilBert-50-epochs,,../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json,,File ../../data/Hit@K/masked chars and subwords with masked spaces char tokens/chars_3015_no_niqqud_new.json does not exist
